Iteration max_z min_z max_grad min_grad
284 0.000749981 -0.00134906 24.204 0.482857
285 0.000775807 -0.0013135 24.204 0.482486
286 0.000797212 -0.00126775 24.204 0.482127
287 0.000814011 -0.00121297 24.204 0.481781
288 0.000826213 -0.00115067 24.204 0.481446
289 0.000833997 -0.00108263 24.204 0.481123
290 0.000837682 -0.00101072 24.204 0.480811
291 0.000837685 -0.000936791 24.204 0.48051
292 0.000834478 -0.000862542 24.204 0.480219
293 0.00082855 -0.000789448 24.204 0.479939
294 0.000820375 -0.000718707 24.204 0.479668
295 0.000810387 -0.000651224 24.2041 0.479406
296 0.000798974 -0.000587624 24.2041 0.479154
297 0.000786467 -0.000561468 24.2041 0.47891
298 0.000773142 -0.000547602 24.2041 0.478675
299 0.000759227 -0.000532754 24.2041 0.478448
300 0.000744904 -0.000516994 24.2041 0.478229
301 0.00073032 -0.000500409 24.2041 0.478017
302 0.000715592 -0.000483098 24.2041 0.477813
303 0.000700815 -0.000465169 24.2041 0.477615
304 0.000686065 -0.000446737 24.2041 0.477425
305 0.000671405 -0.000427921 24.2041 0.47724
306 0.00065689 -0.000408841 24.2041 0.477062
307 0.000642566 -0.000389611 24.2041 0.47689
308 0.00064133 -0.000370346 24.2041 0.476724
309 0.000657069 -0.000351151 24.2041 0.476563
310 0.000672196 -0.000332124 24.2041 0.476407
311 0.000686545 -0.000334919 24.2041 0.476256
312 0.000699937 -0.000354825 24.2041 0.47611
313 0.000712183 -0.000375336 24.2041 0.475969
314 0.000723086 -0.000396454 24.2041 0.475832
315 0.000732448 -0.000418175 24.2041 0.4757
316 0.000740074 -0.000440492 24.2041 0.475571
317 0.000745775 -0.000463392 24.2041 0.475447
318 0.000749374 -0.000486855 24.2041 0.475326
319 0.000750719 -0.000510852 24.2041 0.475209
320 0.000749681 -0.000535346 24.2041 0.475096
321 0.000746164 -0.000560287 24.2041 0.474986
322 0.000740114 -0.000585614 24.2042 0.474879
323 0.000731516 -0.00061125 24.2042 0.474775
324 0.000720405 -0.000637104 24.2042 0.474674
325 0.000706861 -0.000663068 24.2042 0.474576
326 0.000691013 -0.000689015 24.2042 0.47448
327 0.000673033 -0.000714799 24.2042 0.474388
328 0.000653131 -0.000740256 24.2042 0.474297
329 0.000631554 -0.0007652 24.2042 0.47421
330 0.00060857 -0.000789424 24.2042 0.474124
331 0.000584465 -0.000812701 24.2042 0.474041
332 0.000559534 -0.000834788 24.2042 0.47396
333 0.000534069 -0.000855423 24.2042 0.473882
334 0.000508354 -0.000874329 24.2042 0.473806
335 0.000482655 -0.000891222 24.2042 0.473732
336 0.000457219 -0.000905813 24.2042 0.47366
337 0.000459058 -0.000917816 24.2042 0.473591
338 0.000471186 -0.000926958 24.2042 0.473524
339 0.000482028 -0.000932986 24.2042 0.47346
340 0.000491334 -0.00093568 24.2042 0.473398
341 0.000498873 -0.000934865 24.2042 0.473339
342 0.000504439 -0.000930419 24.2042 0.473282
343 0.000507864 -0.000922286 24.2042 0.473229
344 0.000509023 -0.000910482 24.2042 0.473177
345 0.000507842 -0.000895098 24.2042 0.473129
346 0.000504302 -0.000876307 24.2042 0.473083
347 0.000498439 -0.000854352 24.2042 0.473041
348 0.000490344 -0.000829547 24.2042 0.473001
349 0.000480156 -0.000802259 24.2042 0.472964
350 0.000468056 -0.000772898 24.2042 0.47293
351 0.000454257 -0.000741902 24.2042 0.472899
352 0.000438998 -0.000709713 24.2042 0.47287
353 0.000422528 -0.000676772 24.2042 0.472845
354 0.000405101 -0.000643497 24.2042 0.472821
355 0.000386968 -0.000610272 24.2042 0.472801
356 0.000368366 -0.000577442 24.2042 0.472783
357 0.000349517 -0.000545305 24.2042 0.472768
358 0.000330619 -0.000528872 24.2042 0.472755
359 0.000311849 -0.000554085 24.2042 0.472744
360 0.000293358 -0.000582382 24.2042 0.472736
361 0.000275274 -0.000614201 24.2042 0.472729
362 0.000257701 -0.000650061 24.2042 0.472725
363 0.000246678 -0.000690569 24.2042 0.472723
364 0.000237535 -0.000736441 24.2042 0.472722
365 0.000228723 -0.000788524 24.2042 0.472724
366 0.000228076 -0.000847815 24.2042 0.472727
367 0.000245813 -0.000915486 24.2042 0.472732
368 0.000265934 -0.000992911 24.2042 0.472739
369 0.000288773 -0.00108168 24.2042 0.472747
370 0.000314681 -0.00118361 24.2042 0.472757
371 0.000344001 -0.00130071 24.2042 0.472768
372 0.00037702 -0.00143515 24.2042 0.47278
373 0.000413887 -0.00158905 24.2042 0.472794
374 0.000454482 -0.00176421 24.2042 0.472809
375 0.00049821 -0.00196162 24.2042 0.472824
376 0.000543716 -0.0021806 24.2042 0.472841
377 0.000588526 -0.00241768 24.2042 0.472859
378 0.000628699 -0.0026652 24.2042 0.472877
379 0.000658677 -0.00290998 24.2042 0.472896
380 0.000671633 -0.0031329 24.2042 0.472915
381 0.000660663 -0.00331027 24.2042 0.472934
382 0.000620852 -0.00341794 24.2042 0.472952
383 0.00055159 -0.00343741 24.2042 0.47297
384 0.000457895 -0.00336177 24.2042 0.472986
385 0.00042119 -0.00319837 24.2042 0.473001
386 0.0004467 -0.00296658 24.2042 0.473014
387 0.000456548 -0.00269204 24.2042 0.473026
388 0.000453322 -0.00240022 24.2042 0.473037
389 0.000440385 -0.00211187 24.2042 0.473047
390 0.000421042 -0.00184119 24.2042 0.473058
391 0.000398056 -0.00159608 24.2042 0.47307
392 0.000373483 -0.00137961 24.2042 0.473084
393 0.000348714 -0.0011916 24.2042 0.473099
394 0.000324613 -0.00103002 24.2042 0.473115
395 0.000301666 -0.000891981 24.2042 0.473134
396 0.000280104 -0.000774392 24.2042 0.473154
397 0.000260005 -0.00067427 24.2042 0.473177
398 0.000241354 -0.000588931 24.2042 0.4732
399 0.000224088 -0.000516042 24.2042 0.473226
400 0.000208124 -0.000453618 24.2042 0.473252
